gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,StreamingServices,TenureGroup,ContractRisk,PaymentType,InternetType,HighValueCustomer,EngagementLevel
Female,No,Yes,No,1,No,No,DSL,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Electronic check,29.85,29.85,Retained,29.85,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Male,No,No,No,34,Yes,No,DSL,Secure,No Backup,Protected,No Support,One year,No,Mailed check,56.95,1889.5,Retained,55.5735294117647,No Streaming,2-4 Years,Medium Risk,Manual,Medium Speed,No,Low
Male,No,No,No,2,Yes,No,DSL,Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Mailed check,53.85,108.15,Churned,54.075,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Male,No,No,No,45,No,No,DSL,Secure,No Backup,Protected,Support Available,One year,No,Bank transfer (automatic),42.3,1840.75,Retained,40.90555555555556,No Streaming,2-4 Years,Medium Risk,Auto,Medium Speed,No,Low
Female,No,No,No,2,Yes,No,Fiber optic,Not Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Electronic check,70.7,151.65,Churned,75.825,No Streaming,0-1 Year,High Risk,Manual,High Speed,Yes,Low
Female,No,No,No,8,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,No Support,Month-to-month,Yes,Electronic check,99.65,820.5,Churned,102.5625,TV + Movies,0-1 Year,High Risk,Manual,High Speed,Yes,Medium
Male,No,No,Yes,22,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Not Protected,No Support,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Retained,88.60909090909091,TV Only,1-2 Years,High Risk,Auto,High Speed,Yes,Medium
Female,No,No,No,10,No,No,DSL,Secure,No Backup,Not Protected,No Support,Month-to-month,No,Mailed check,29.75,301.9,Retained,30.189999999999998,No Streaming,0-1 Year,High Risk,Manual,Medium Speed,No,Low
Female,No,Yes,No,28,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,Support Available,Month-to-month,Yes,Electronic check,104.8,3046.05,Churned,108.78750000000001,TV + Movies,2-4 Years,High Risk,Manual,High Speed,Yes,Medium
Male,No,No,Yes,62,Yes,No,DSL,Secure,Backup Enabled,Not Protected,No Support,One year,No,Bank transfer (automatic),56.15,3487.95,Retained,56.25725806451613,No Streaming,4+ Years,Medium Risk,Auto,Medium Speed,No,Low
Male,No,Yes,Yes,13,Yes,No,DSL,Secure,No Backup,Not Protected,No Support,Month-to-month,Yes,Mailed check,49.95,587.45,Retained,45.18846153846154,No Streaming,1-2 Years,High Risk,Manual,Medium Speed,No,Low
Male,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,Retained,20.425,No Streaming,1-2 Years,Low Risk,Auto,No Internet,No,Low
Male,No,Yes,No,58,Yes,Yes,Fiber optic,Not Secure,No Backup,Protected,No Support,One year,No,Credit card (automatic),100.35,5681.1,Retained,97.95,TV + Movies,4+ Years,Medium Risk,Auto,High Speed,Yes,Medium
Male,No,No,No,49,Yes,Yes,Fiber optic,Not Secure,Backup Enabled,Protected,No Support,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Churned,102.78163265306122,TV + Movies,4+ Years,High Risk,Auto,High Speed,Yes,Medium
